,GUID,GEOGID,GEOGDESC,0 - 9 years,10 - 19 years,20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over
737,2AE19629194F13A3E055000000000001,ED3409_10009,Ardee Urban,783,591,594,799,695,572,378,269,238
738,2AE19629195E13A3E055000000000001,ED3409_10010,Castlebellingham,230,192,188,275,233,207,196,110,85
739,2AE19629197313A3E055000000000001,ED3409_10011,Clonkeen,112,82,68,104,106,94,64,34,13
740,2AE19629197D13A3E055000000000001,ED3409_10012,Collon,340,283,186,308,284,210,148,90,32
741,2AE1962918C913A3E055000000000001,ED3409_10013,Dromin,105,109,36,83,114,72,51,34,22
742,2AE1962918D613A3E055000000000001,ED3409_10014,Dromiskin,352,318,249,311,344,293,188,112,62
743,2AE1962918D713A3E055000000000001,ED3409_10015,Drumcar,193,187,127,181,249,205,194,79,32
744,2AE1962918E413A3E055000000000001,ED3409_10016,Dunleer,476,439,281,465,477,298,207,157,55
745,2AE19629192B13A3E055000000000001,ED3409_10017,Stabannan,107,101,48,71,99,69,71,36,17
746,2AE19629192C13A3E055000000000001,ED3409_10018,Tallanstown,141,145,118,152,151,141,114,54,20
747,2AE19629195013A3E055000000000001,ED3409_10019,Ballymascanlan,280,314,207,265,332,277,269,168,88
748,2AE19629195C13A3E055000000000001,ED3409_10020,Barronstown,100,131,62,72,123,95,86,50,28
749,2AE19629195D13A3E055000000000001,ED3409_10021,Carlingford,335,395,195,311,277,259,201,135,77
750,2AE19629196813A3E055000000000001,ED3409_10022,Castlering,170,145,128,132,164,132,83,51,26
751,2AE19629196913A3E055000000000001,ED3409_10023,Castletown,616,727,487,583,567,537,389,228,130
752,2AE19629197E13A3E055000000000001,ED3409_10024,Creggan Upper,151,105,73,161,100,86,114,41,15
753,2AE1962918C713A3E055000000000001,ED3409_10025,Darver,104,93,61,96,118,83,74,33,13
754,2AE1962918E113A3E055000000000001,ED3409_10026,Drummullagh,223,218,128,166,230,156,123,80,32
755,2AE1962918E213A3E055000000000001,ED3409_10027,Dundalk Rural,3222,2878,2759,3112,2572,1902,1399,987,434
756,2AE1962918EE13A3E055000000000001,ED3409_10028,Faughart,116,134,109,116,141,139,109,59,30
757,2AE1962918EF13A3E055000000000001,ED3409_10029,Greenore,233,171,98,147,208,144,115,51,33
758,2AE1962918F913A3E055000000000001,ED3409_10030,Haggardstown,1086,934,655,1007,1027,838,711,457,217
759,2AE1962918FA13A3E055000000000001,ED3409_10031,Jenkinstown,248,201,101,162,218,131,118,65,37
760,2AE19629190513A3E055000000000001,ED3409_10032,Killanny,147,132,71,95,143,98,83,33,18
761,2AE19629190613A3E055000000000001,ED3409_10033,Louth,270,232,144,220,255,193,137,85,37
762,2AE19629190713A3E055000000000001,ED3409_10034,Mansfieldstown,172,126,76,136,146,88,66,33,14
763,2AE19629191C13A3E055000000000001,ED3409_10035,Rathcor,216,214,126,213,191,174,137,65,38
764,2AE19629191D13A3E055000000000001,ED3409_10036,Ravensdale,144,144,91,112,146,146,123,75,35
765,2AE19629197213A3E055000000000001,ED3409_10037,Clogher,595,534,303,487,555,348,225,142,48
766,2AE1962918ED13A3E055000000000001,ED3409_10038,Dysart,148,167,64,108,196,101,66,49,25
767,2AE19629191213A3E055000000000001,ED3409_10039,Monasterboice,200,190,126,157,233,202,150,79,36
768,2AE19629191313A3E055000000000001,ED3409_10040,Mullary,266,335,152,173,349,256,114,87,25
769,2AE19629192A13A3E055000000000001,ED3409_10041,St. Peter's,1822,1678,923,1649,1685,909,595,342,118
770,2AE19629193413A3E055000000000001,ED3409_10042,Termonfeckin,558,596,316,459,571,487,313,149,96
771,2AE19629193913A3E055000000000001,ED3409_10047,St. Mary's (Part Urban),1172,1191,737,1095,1263,770,383,194,54
772,2AE1962918BF13A3E055000000000001,ED3409_11001,Ceannanus MÛr (Kells) Urban,292,271,255,279,333,272,220,140,71
773,2AE19629189313A3E055000000000001,ED3409_11002,Navan Urban,488,302,558,691,502,450,313,190,125
774,2AE19629182C13A3E055000000000001,ED3409_11003,Trim Urban,152,125,181,245,157,182,154,120,70
775,2AE19629187913A3E055000000000001,ED3409_11004,Drumcondra,185,184,125,156,184,190,162,78,39
776,2AE1962918A613A3E055000000000001,ED3409_11005,Grangegeeth,115,93,55,90,117,88,54,29,18
777,2AE19629183F13A3E055000000000001,ED3409_11006,Killary,175,142,139,146,189,186,140,89,42
778,2AE19629186D13A3E055000000000001,ED3409_11007,Culmullin,194,116,112,136,161,150,148,75,50
779,2AE19629186E13A3E055000000000001,ED3409_11008,Donaghmore,2101,1396,1388,2292,1751,1314,1001,389,126
780,2AE19629188313A3E055000000000001,ED3409_11009,Dunboyne,1492,1553,1192,1556,1508,1341,814,454,184
781,2AE19629188F13A3E055000000000001,ED3409_11010,Dunshaughlin,826,912,638,824,834,800,560,315,131
782,2AE19629181213A3E055000000000001,ED3409_11011,Kilbrew,738,440,358,825,532,284,234,132,92
783,2AE19629184C13A3E055000000000001,ED3409_11012,Killeen,157,155,131,139,155,172,157,72,22
784,2AE19629186213A3E055000000000001,ED3409_11013,Kilmessan,279,183,163,273,221,182,163,63,33
785,2AE19629186313A3E055000000000001,ED3409_11014,Kilmore,263,194,158,243,226,187,209,77,32
786,2AE1962918B513A3E055000000000001,ED3409_11015,Rathfeigh,141,131,96,132,142,140,109,52,45
787,2AE19629181413A3E055000000000001,ED3409_11016,Ratoath,2146,2006,949,1607,2113,1183,596,351,131
788,2AE19629181513A3E055000000000001,ED3409_11017,Rodanstown,161,153,90,143,148,156,140,98,34
789,2AE19629181B13A3E055000000000001,ED3409_11018,Skreen,197,213,156,172,210,211,188,92,42
790,2AE19629181913A3E055000000000001,ED3409_11019,Ardagh,100,73,59,78,96,90,79,43,26
791,2AE19629183113A3E055000000000001,ED3409_11020,Ballinlough,42,38,18,23,33,24,10,15,12
792,2AE19629183C13A3E055000000000001,ED3409_11021,Balrathboyne,100,76,38,82,76,55,58,31,10
793,2AE19629184713A3E055000000000001,ED3409_11022,Boherboy,41,44,27,35,54,46,46,15,9
794,2AE19629184813A3E055000000000001,ED3409_11023,Burry,38,59,10,31,45,39,25,17,8
795,2AE19629184913A3E055000000000001,ED3409_11024,Carrickleck,52,56,45,57,66,68,63,31,20
796,2AE19629185213A3E055000000000001,ED3409_11025,Castlekeeran,84,78,46,61,72,55,39,28,17
797,2AE1962918BE13A3E055000000000001,ED3409_11026,Ceannanus MÛr (Kells) Rural,842,678,456,784,644,512,353,247,137
798,2AE19629186C13A3E055000000000001,ED3409_11027,Cruicetown,63,64,46,58,53,63,33,13,9
799,2AE19629189D13A3E055000000000001,ED3409_11028,Girley,57,46,36,45,58,44,48,20,10
800,2AE19629185613A3E055000000000001,ED3409_11029,Kilmainham,119,93,75,95,101,86,99,59,51
801,2AE19629186F13A3E055000000000001,ED3409_11030,Kilskeer,75,76,26,44,73,40,52,29,12
802,2AE19629187A13A3E055000000000001,ED3409_11031,Loughan,53,61,37,48,64,41,46,32,17
803,2AE19629187B13A3E055000000000001,ED3409_11032,Maperath,50,69,34,46,69,71,57,59,17
804,2AE19629187C13A3E055000000000001,ED3409_11033,Martry,118,82,68,110,109,82,88,41,10
805,2AE19629188513A3E055000000000001,ED3409_11034,Moybolgue,36,38,21,50,30,32,20,10,8
806,2AE19629189113A3E055000000000001,ED3409_11035,Moynalty,92,76,71,65,97,87,72,46,29
807,2AE19629189413A3E055000000000001,ED3409_11036,Newcastle,67,59,39,61,62,61,52,23,18
808,2AE19629189E13A3E055000000000001,ED3409_11037,Newtown,189,145,97,179,115,104,38,38,6
809,2AE19629189F13A3E055000000000001,ED3409_11038,Nobber,122,94,94,116,97,107,69,46,18
810,2AE1962918AA13A3E055000000000001,ED3409_11039,Posseckstown,34,35,27,25,33,24,24,9,11
811,2AE19629182813A3E055000000000001,ED3409_11040,Staholmog,69,58,35,55,60,60,33,26,12
812,2AE19629182A13A3E055000000000001,ED3409_11041,Tailtin,105,135,108,111,100,167,87,70,30
813,2AE19629183513A3E055000000000001,ED3409_11042,Trohanny,44,44,31,29,45,58,37,26,9
814,2AE19629182413A3E055000000000001,ED3409_11043,Ardcath,253,240,227,271,264,265,277,120,32
815,2AE19629188213A3E055000000000001,ED3409_11044,Duleek,1076,896,466,996,936,545,358,215,77
